rf,year,month,sp_ret
0.0041,2000,1,-0.050904
0.0043,2000,2,-0.020108
0.0047,2000,3,0.09672
0.0046,2000,4,-0.030796
0.005,2000,5,-0.021915
0.004,2000,6,0.023934
0.0048,2000,7,-0.016341
0.005,2000,8,0.060699
0.0051,2000,9,-0.053483
0.0056,2000,10,-0.004949
0.0051,2000,11,-0.080069
0.005,2000,12,0.004053
0.0054,2001,1,0.034637
0.0038,2001,2,-0.092291
0.0042,2001,3,-0.064205
0.0039,2001,4,0.076814
0.0032,2001,5,0.00509
0.0028,2001,6,-0.025004
0.003,2001,7,-0.010772
0.0031,2001,8,-0.064108
0.0028,2001,9,-0.081723
0.0022,2001,10,0.018099
0.0017,2001,11,0.075176
0.0015,2001,12,0.007574
0.0014,2002,1,-0.015574
0.0013,2002,2,-0.020766
0.0013,2002,3,0.036739
0.0015,2002,4,-0.061418
0.0014,2002,5,-0.009081
0.0013,2002,6,-0.072465
0.0015,2002,7,-0.078995
0.0014,2002,8,0.004881
0.0014,2002,9,-0.110013
0.0014,2002,10,0.086436
0.0012,2002,11,0.05707
0.0011,2002,12,-0.060333
0.001,2003,1,-0.027415
0.0009,2003,2,-0.017004
0.001,2003,3,0.008358
0.001,2003,4,0.081044
0.0009,2003,5,0.050899
0.001,2003,6,0.011322
0.0007,2003,7,0.016224
0.0007,2003,8,0.017873
0.0008,2003,9,-0.011944
0.0007,2003,10,0.054962
0.0007,2003,11,0.007129
0.0008,2003,12,0.050765
0.0007,2004,1,0.017276
0.0006,2004,2,0.012209
0.0009,2004,3,-0.016359
0.0008,2004,4,-0.016791
0.0006,2004,5,0.012083
0.0008,2004,6,0.017989
0.001,2004,7,-0.034291
0.0011,2004,8,0.002287
0.0011,2004,9,0.009364
0.0011,2004,10,0.014014
0.0015,2004,11,0.038595
0.0016,2004,12,0.032458
0.0016,2005,1,-0.02529
0.0016,2005,2,0.018903
0.0021,2005,3,-0.019118
0.0021,2005,4,-0.020109
0.0024,2005,5,0.029952
0.0023,2005,6,-0.000143
0.0024,2005,7,0.035968
0.003,2005,8,-0.011222
0.0029,2005,9,0.006949
0.0027,2005,10,-0.017741
0.0031,2005,11,0.035186
0.0032,2005,12,-0.000952
0.0035,2006,1,0.025467
0.0034,2006,2,0.000453
0.0037,2006,3,0.011065
0.0036,2006,4,0.012187
